早		Early	zǎo	早上	zǎo shang	morning				tảo		26	26	deck:current tag:RSH is:suspended (hanzi:早 or keyword:"ten" or keyword:"day")	6	FSI-StandardChinese-ORN1 RSH RSH1 RSH1-02 SameSimpTrad
旭		Rising Sun	xù	旭日	xù rì	the rising sun		<span style="color: rgb(25, 25, 112); background-color: rgb(249, 249, 249);">Thê Húc</span>		húc		27	27	deck:current tag:RSH is:suspended (hanzi:旭 or keyword:"nine" or keyword:"day")	6	FSI-StandardChinese-ORN1 RSH RSH1 RSH1-02 SameSimpTrad
世		Generation	<span class="tone4">shì</span><!--shi-->	世界	shì jiè	world		thế hệ, thế kỉ		thế		28	28	deck:current tag:RSH is:suspended (hanzi:世 or keyword:"ten")	5	FSI-StandardChinese-ORN1 RSH RSH1 RSH1-02 SameSimpTrad
胃		Stomach	wèi	开胃	kāi wèi	to whet the appetite						29	29	deck:current tag:RSH is:suspended (hanzi:胃 or keyword:"rice field" or keyword:"month")	9	FSI-StandardChinese-ORN1 RSH RSH1 RSH1-02 SameSimpTrad
旦		Daybreak	dàn	元旦	yuán dàn	New Year's Day		nguyên đán		đán		30	30	deck:current tag:RSH is:suspended (hanzi:旦 or keyword:"one" or keyword:"day")	5	FSI-StandardChinese-ORN1 RSH RSH1 RSH1-02 SameSimpTrad
凹		Concave	{āo,wā}	凹陷	āo xiàn	depressed		ao địa		ao		31	31	deck:current tag:RSH is:suspended (hanzi:凹)	5	FSI-StandardChinese-ORN1 RSH RSH1 RSH1-02 SameSimpTrad
凸		Convex	tū	凹凸	āo tū	bumpy		đột nhãn		đột		32	32	deck:current tag:RSH is:suspended (hanzi:凸)	5	FSI-StandardChinese-ORN1 RSH RSH1 RSH1-02 SameSimpTrad
p.<img src="rsh-drop.jpg">		p.A drop of										v1p31	33			Primitive PrimitiveImage RSH RSH1 RSH1-03
p.丨		p.Walking stick										v1p32	34			Primitive RSH RSH1 RSH1-03
自		Oneself	zì	自然	zì rán	nature		tự cấp tự túc		tự		33	35	deck:current tag:RSH is:suspended (hanzi:自 or keyword:"p.a drop of" or keyword:"eye")	6	FSI-StandardChinese-ORN1 RSH RSH1 RSH1-03 SameSimpTrad
白		White	{bái,bó}	白色	bái sè	white				bạch		34	36	deck:current tag:RSH is:suspended (hanzi:白 or keyword:"day" or keyword:"p.a drop of")	5	FSI-StandardChinese-ORN1 RSH RSH1 RSH1-03 SameSimpTrad
百		Hundred	{bǎi,bó,mò}							bá, bách		35	37	deck:current tag:RSH is:suspended (hanzi:百 or keyword:"one" or keyword:"day" or keyword:"white" or keyword:"p.a drop of")	6	FSI-StandardChinese-ORN1 RSH RSH1 RSH1-03 SameSimpTrad
